City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,callao,-12.0667,-77.15,20.16,77,75,3.6,PE,1691131577
220,ouro preto do oeste,-10.7481,-62.2158,23.55,62,4,1.71,BR,1691131646
221,suomussalmi,64.8868,28.9078,17.78,92,100,4.68,FI,1691131723
222,anna regina,7.2644,-58.5077,25.36,86,100,1.82,GY,1691131723
223,dire dawa,9.5931,41.8661,25.69,52,21,4.96,ET,1691131555
224,anderstorp,58.8833,14.2833,16.27,84,37,3.87,SE,1691131724
225,ranapur,22.65,74.5333,25.88,83,100,6.06,IN,1691131724
226,laguna,38.421,-121.4238,19.69,78,0,3.6,US,1691131724
227,lauro de freitas,-12.8944,-38.3272,25.01,73,20,2.57,BR,1691131725
228,bikenibeu village,1.3673,173.1241,29.98,74,75,2.06,KI,1691131725
229,inverell,-29.7833,151.1167,18.95,45,5,0.89,AU,1691131725
230,new norfolk,-42.7826,147.0587,17.16,63,85,5.36,AU,1691131726
231,zhanibek,49.4167,46.85,32.76,33,0,2.7,KZ,1691131726
232,coquimbo,-29.9533,-71.3436,13.85,88,100,0.51,CL,1691131727
233,alice springs,-23.7,133.8833,27.75,20,0,6.17,AU,1691131448
234,namie,37.4833,141.0,31.51,69,6,1.33,JP,1691131550
235,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1691131727
236,danilovka,50.3557,44.1168,29.36,45,0,3.48,RU,1691131727
237,urucara,-2.5364,-57.76,22.97,78,6,0.88,BR,1691131728
238,tura,25.5198,90.2201,28.49,81,100,2.42,IN,1691131728
239,chonchi,-42.6128,-73.8092,5.07,93,76,1.1,CL,1691131729
240,illizi,26.4833,8.4667,30.89,12,0,7.29,DZ,1691131729
241,codrington,-38.2667,141.9667,11.26,79,100,8.31,AU,1691131730
242,homer,59.6425,-151.5483,15.93,74,100,1.54,US,1691131730
243,cannonvale,-20.2833,148.7,20.66,75,49,9.07,AU,1691131731
244,yershov,51.3513,48.2766,29.65,39,2,3.28,RU,1691131731
245,bougouni,11.417,-7.479,23.3,85,0,1.8,ML,1691131732
246,san sebastian de la gomera,28.0916,-17.1133,22.99,88,0,2.06,ES,1691131732
247,tottori,35.5,134.2333,33.04,62,20,6.17,JP,1691131733
248,maracacume,-2.0428,-45.9592,22.12,99,23,1.06,BR,1691131733
249,kuala terengganu,5.3302,103.1408,32.21,74,20,2.68,MY,1691131734
250,nemuro,43.3236,145.575,19.89,90,35,7.01,JP,1691131703
251,andalgala,-27.5819,-66.3165,13.65,60,0,0.09,AR,1691131734
252,noumea,-22.2763,166.4572,20.56,99,100,8.06,NC,1691131735
253,taltal,-25.4,-70.4833,14.32,86,59,1.36,CL,1691131735
254,tuy hoa,13.0833,109.3,34.44,51,100,3.93,VN,1691131502
255,tucuma,-0.1833,-50.05,24.21,93,3,2.61,BR,1691131613
256,kuching,1.55,110.3333,36.72,56,40,3.13,MY,1691131736
257,pisco,-13.7,-76.2167,14.45,88,13,2.57,PE,1691131444
258,sabha,27.0377,14.4283,34.07,13,0,4.66,LY,1691131563
259,port kembla,-34.4667,150.9,20.85,61,100,4.97,AU,1691131737
260,independence,39.0911,-94.4155,24.05,91,100,3.6,US,1691131737
261,walvis bay,-22.9575,14.5053,12.83,87,100,1.54,NA,1691131737
262,mahina,-17.5065,-149.489,24.87,78,20,1.54,PF,1691131737
263,morondava,-20.2833,44.2833,26.38,48,4,4.02,MG,1691131738
264,trondheim,63.4305,10.3951,14.4,86,100,0.45,NO,1691131738
265,sicuani,-14.2694,-71.2261,4.29,80,12,0.25,PE,1691131739
266,rio grande,-32.035,-52.0986,13.86,77,100,2.31,BR,1691131575
267,kyshtovka,56.555,76.6271,26.19,62,100,2.29,RU,1691131740
268,niquero,20.0431,-77.5828,26.5,83,0,4.76,CU,1691131741
269,cabedelo,-6.9811,-34.8339,20.37,79,56,4.4,BR,1691131742
270,acajutla,13.5928,-89.8275,26.49,79,100,2.49,SV,1691131742
271,turpan,42.9333,89.1667,42.95,10,1,0.31,CN,1691131742
272,sankheda,22.1667,73.5833,29.88,72,100,7.42,IN,1691131743
273,mili,6.0815,171.735,28.13,78,100,7.14,MH,1691131743
274,prince rupert,54.3161,-130.3201,14.83,93,0,2.57,CA,1691131743
275,druzhba,52.0428,33.9453,25.6,49,15,5.19,UA,1691131744
276,broughton,52.3667,-0.7667,15.01,90,95,2.68,GB,1691131744
277,bodaybo,57.8506,114.1933,27.36,40,100,0.88,RU,1691131744
278,puerto baquerizo moreno,-0.9,-89.6,23.89,84,92,4.1,EC,1691131744
279,kattivakkam,13.2167,80.3167,34.05,59,100,4.33,IN,1691131745
280,fort bragg,35.139,-79.006,23.91,80,100,1.54,US,1691131734
281,kavaratti,10.5669,72.642,28.27,80,15,7.39,IN,1691131665
282,sitka,57.0531,-135.33,16.94,77,20,0.0,US,1691131745
283,morehead city,34.7229,-76.726,28.0,75,100,5.36,US,1691131745
284,pangody,65.85,74.4859,28.41,30,11,6.08,RU,1691131746
285,kalemie,-5.9475,29.1947,24.69,51,21,7.95,CD,1691131746
286,hillsborough,37.5741,-122.3794,16.35,91,100,6.17,US,1691131747
287,dubai,25.2582,55.3047,40.16,56,0,5.14,AE,1691131601
288,ondjiva,-17.0667,15.7333,15.02,41,0,3.09,AO,1691131747
